# Reddening correction based on Seaton 1979 and Tol 2146-391
# WL teo	 f(WL)	ID
3634	0.280	He I
3652	0.275	He I
3656	0.274	H38
3658.64	0.274	H34
3659	0.273	H33
3661	0.273	H31
3665	0.272	H28
3671	0.270	H24
3674	0.270	H23
3676	0.269	H22
3679	0.268	H21
3683	0.267	H20
3687	0.266	H19
3692	0.265	H18
3697	0.263	H17
3704	0.262	H16
3712	0.260	H15
3726	0.246	[O II]
3729	0.255	[O II]
3750	0.250	H12
3770	0.245	H11
3789	0.240	C III?
3798	0.238	H10+[SIII]
3820	0.233	He I
3836	0.229	H9
3867	0.222	[Ne III] 
3889	0.218	H8+He I
3967	0.201	H7+He I +[Ne III] 
4026	0.190	He I
4069	0.182	[S II] 
4076	0.181	[S II] 
4102	0.176	H6
4121	0.173	He I
4144	0.169	He I
4267	0.143	C II
4340	0.128	H5
4363	0.122	[OIII]
4388	0.116	He I
4471	0.094	He I
4563	0.070	Mg I]
4571	0.068	Mg I]
4640	0.051	O II
4650	0.049	O II
4658	0.047	[Fe III]
4686	0.041	He II
4701	0.037	[Fe III]
4711	0.034	[Ar IV]+He I
4713	0.034	He I
4740	0.028	[Ar IV]
4861	0.000	Hbeta
4881	-0.004	[Fe III]
4907	-0.010	O II
4922	-0.013	He I
4959	-0.021	[O III]
4986	-0.027	[Fe III]
5007	-0.032	[O III]
5016	-0.034	He I
5026	-0.036	N II
5041	-0.040	Si II
5048	-0.041	He I
5159	-0.065	[Fe II]
5192	-0.072	[Ar III]
5198	-0.074	[N I]
5262	-0.087	[Fe II]
5270	-0.089	[Fe III]
5412	-0.119	[Fe III]
5517	-0.140	[Cl III]
5537	-0.144	[Cl III]
5876	-0.216	He I
6300	-0.285	[O I]
6312	-0.286	[S III] 
6364	-0.294	[O I]
6371	-0.295	Si II
6548	-0.320	[N II]
6563	-0.322	Halfa
6583	-0.324	[N II]
6590	-0.325	...
6678	-0.337	He I
6716	-0.342	[S II] 
6731	-0.343	[S II] 
7065	-0.383	He I
7136	-0.391	[Ar III]
7231	-0.401	C II
7281	-0.406	He I
7320	-0.410	[O II]
7330	-0.411	[O II]
7552	-0.440	[Fe II]
7751	-0.452	[Ar III]
8084	-0.480	He I + Ne II
8240	-0.493	P45
8268	-0.495	P34
8306	-0.498	P27
8375	-0.504	P21
8446	-0.510	O I
8500	-0.514	[Cl III]
